movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,comb,id
avatar,JamesCameron,CCHPounder,JoelDavidMoore,WesStudi,Action  Adventure  Fantasy  Sci-Fi,CCHPounder JoelDavidMoore WesStudi JamesCameron Action  Adventure  Fantasy  Sci-Fi,
pirates of the caribbean: at world's end,GoreVerbinski,JohnnyDepp,OrlandoBloom,JackDavenport,Action  Adventure  Fantasy,JohnnyDepp OrlandoBloom JackDavenport GoreVerbinski Action  Adventure  Fantasy,
spectre,SamMendes,ChristophWaltz,RoryKinnear,StephanieSigman,Action  Adventure  Thriller,ChristophWaltz RoryKinnear StephanieSigman SamMendes Action  Adventure  Thriller,
the dark knight rises,ChristopherNolan,TomHardy,ChristianBale,JosephGordon-Levitt,Action  Thriller,TomHardy ChristianBale JosephGordon-Levitt ChristopherNolan Action  Thriller,
star wars: episode vii - the force awakens            ,DougWalker,DougWalker,RobWalker,unknown,Documentary,DougWalker RobWalker unknown DougWalker Documentary,
john carter,AndrewStanton,DarylSabara,SamanthaMorton,PollyWalker,Action  Adventure  Sci-Fi,DarylSabara SamanthaMorton PollyWalker AndrewStanton Action  Adventure  Sci-Fi,
tangled,NathanGreno,BradGarrett,DonnaMurphy,M.C.Gainey,Adventure  Animation  Comedy  Family  Fantasy  Musical  Romance,BradGarrett DonnaMurphy M.C.Gainey NathanGreno Adventure  Animation  Comedy  Family  Fantasy  Musical  Romance,
avengers: age of ultron,JossWhedon,ChrisHemsworth,RobertDowneyJr.,ScarlettJohansson,Action  Adventure  Sci-Fi,ChrisHemsworth RobertDowneyJr. ScarlettJohansson JossWhedon Action  Adventure  Sci-Fi,
harry potter and the half-blood prince,DavidYates,AlanRickman,DanielRadcliffe,RupertGrint,Adventure  Family  Fantasy  Mystery,AlanRickman DanielRadcliffe RupertGrint DavidYates Adventure  Family  Fantasy  Mystery,
batman v superman: dawn of justice,ZackSnyder,HenryCavill,LaurenCohan,AlanD.Purwin,Action  Adventure  Sci-Fi,HenryCavill LaurenCohan AlanD.Purwin ZackSnyder Action  Adventure  Sci-Fi,
superman returns,BryanSinger,KevinSpacey,MarlonBrando,FrankLangella,Action  Adventure  Sci-Fi,KevinSpacey MarlonBrando FrankLangella BryanSinger Action  Adventure  Sci-Fi,
quantum of solace,MarcForster,GiancarloGiannini,MathieuAmalric,RoryKinnear,Action  Adventure,GiancarloGiannini MathieuAmalric RoryKinnear MarcForster Action  Adventure,
